Serial Capture Session Started - 2025-10-19 21:08:44.965
Software: COM7, Machine: COM15, Baud: 19200
================================================================================
*** Forwarding ENABLED - 'R' received from Software ***
[2025-10-19 21:08:57.820] Machine → Software: 30 30 32 30 31 44 43 30 30 30 32 34 34 38 30 30 30 30 32 38 45 39 38 30 30 30 31 46 44 37 41 30 30 30 32 33 38 31 32 30 31 30 30 4F (00201DC0002448000028E980001FD7A000238120100O)
[2025-10-19 21:08:57.826] Software → Machine: 52 (R)
[2025-10-19 21:08:57.830] Machine → Software: 52 (R)
[2025-10-19 21:08:57.832] Software → Machine: 30 (0)
[2025-10-19 21:08:57.833] Machine → Software: 30 (0)
[2025-10-19 21:08:57.835] Software → Machine: 32 (2)
[2025-10-19 21:08:57.836] Machine → Software: 32 (2)
[2025-10-19 21:08:57.838] Software → Machine: 34 (4)
[2025-10-19 21:08:57.839] Machine → Software: 34 (4)
[2025-10-19 21:08:57.841] Software → Machine: 30 (0)
[2025-10-19 21:08:57.842] Machine → Software: 30 (0)
[2025-10-19 21:08:57.844] Software → Machine: 30 (0)
[2025-10-19 21:08:57.845] Machine → Software: 30 (0)
[2025-10-19 21:08:57.847] Software → Machine: 34 (4)
[2025-10-19 21:08:57.848] Machine → Software: 34 (4)
[2025-10-19 21:08:57.849] Machine → Software: 30 30 46 46 46 45 44 (00FFFED)
[2025-10-19 21:08:57.850] Machine → Software: 34 30 30 30 32 (40002)
[2025-10-19 21:08:57.851] Machine → Software: 30 33 46 43 30 (03FC0)
[2025-10-19 21:08:57.852] Machine → Software: 30 30 32 38 (0028)
[2025-10-19 21:08:57.871] Machine → Software: 32 41 45 30 30 30 (2AE000)
[2025-10-19 21:08:58.602] Machine → Software: 32 30 34 32 32 30 30 30 32 30 31 44 43 30 30 30 32 34 30 38 30 30 30 46 46 46 45 45 34 30 30 30 32 30 34 32 34 4F (20422000201DC0002408000FFFEE400020424O)
[2025-10-19 21:08:58.603] Software → Machine: 52 (R)
[2025-10-19 21:08:58.604] Machine → Software: 52 (R)
[2025-10-19 21:08:58.606] Software → Machine: 46 (F)
[2025-10-19 21:08:58.607] Machine → Software: 46 (F)
[2025-10-19 21:08:58.609] Software → Machine: 46 (F)
[2025-10-19 21:08:58.610] Machine → Software: 46 (F)
[2025-10-19 21:08:58.612] Software → Machine: 46 (F)
[2025-10-19 21:08:58.613] Machine → Software: 46 (F)
[2025-10-19 21:08:58.614] Software → Machine: 45 (E)
[2025-10-19 21:08:58.615] Machine → Software: 45 (E)
[2025-10-19 21:08:58.617] Software → Machine: 44 (D)
[2025-10-19 21:08:58.618] Machine → Software: 44 (D)
[2025-10-19 21:08:58.620] Software → Machine: 39 (9)
[2025-10-19 21:08:58.621] Machine → Software: 39 (9)
[2025-10-19 21:08:58.622] Machine → Software: 38 33 30 30 (8300)
[2025-10-19 21:08:58.623] Machine → Software: 33 33 30 30 30 (33000)
[2025-10-19 21:08:58.624] Machine → Software: 30 30 30 30 (0000)
[2025-10-19 21:08:59.604] Machine → Software: 30 30 30 (000)
[2025-10-19 21:09:01.634] Machine → Software: 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 32 30 30 30 30 30 31 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 4F (000000000000000200000100000000000000000000000000O)
[2025-10-19 21:09:01.636] Software → Machine: 52 52 (RR)
[2025-10-19 21:09:01.637] Machine → Software: 52 (R)
[2025-10-19 21:09:01.638] Machine → Software: 3F (?)
[2025-10-19 21:09:01.650] Software → Machine: 46 (F)
[2025-10-19 21:09:01.651] Machine → Software: 51 (Q)
[2025-10-19 21:09:01.700] Software → Machine: 52 (R)
[2025-10-19 21:09:01.701] Machine → Software: 52 (R)
[2025-10-19 21:09:02.321] Software → Machine: 02 66 03 6B (.f.k)
[2025-10-19 21:09:02.322] Machine → Software: 3F (?)
[2025-10-19 21:09:02.324] Machine → Software: 51 51 51 (QQQ)
[2025-10-19 21:09:02.325] Software → Machine: 46 (F)
[2025-10-19 21:09:02.326] Machine → Software: 51 (Q)
[2025-10-19 21:09:02.391] Software → Machine: 52 (R)
[2025-10-19 21:09:02.392] Machine → Software: 52 (R)
[2025-10-19 21:09:02.411] Software → Machine: 46 (F)
[2025-10-19 21:09:02.412] Machine → Software: 46 (F)
[2025-10-19 21:09:02.431] Software → Machine: 3F (?)
[2025-10-19 21:09:02.432] Machine → Software: 3F (?)
[2025-10-19 21:09:02.451] Software → Machine: 52 (R)
[2025-10-19 21:09:02.452] Machine → Software: 52 (R)
[2025-10-19 21:09:02.454] Software → Machine: 30 (0)
[2025-10-19 21:09:02.455] Machine → Software: 30 (0)
[2025-10-19 21:09:02.457] Software → Machine: 32 (2)
[2025-10-19 21:09:02.458] Machine → Software: 32 (2)
[2025-10-19 21:09:02.460] Software → Machine: 34 (4)
[2025-10-19 21:09:02.461] Machine → Software: 34 (4)
[2025-10-19 21:09:02.463] Software → Machine: 30 (0)
[2025-10-19 21:09:02.464] Machine → Software: 30 (0)
[2025-10-19 21:09:02.466] Software → Machine: 34 (4)
[2025-10-19 21:09:02.467] Machine → Software: 34 (4)
[2025-10-19 21:09:02.468] Software → Machine: 30 (0)
[2025-10-19 21:09:02.470] Machine → Software: 30 (0)
[2025-10-19 21:09:02.470] Machine → Software: 30 30 30 (000)
[2025-10-19 21:09:02.471] Machine → Software: 32 30 36 41 30 30 (206A00)
[2025-10-19 21:09:02.472] Machine → Software: 30 30 32 30 (0020)
[2025-10-19 21:09:02.473] Machine → Software: 37 36 34 30 30 (76400)
[2025-10-19 21:09:02.474] Machine → Software: 30 30 30 30 30 (00000)
[2025-10-19 21:09:02.475] Machine → Software: 30 30 30 30 (0000)
[2025-10-19 21:09:02.483] Machine → Software: 30 30 30 30 (0000)
[2025-10-19 21:09:02.500] Machine → Software: 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 4F (000000000000000000000000000000000O)
[2025-10-19 21:09:02.507] Software → Machine: 52 (R)
[2025-10-19 21:09:02.511] Machine → Software: 52 (R)
[2025-10-19 21:09:02.513] Software → Machine: 30 (0)
[2025-10-19 21:09:02.514] Machine → Software: 30 (0)
[2025-10-19 21:09:02.516] Software → Machine: 32 (2)
[2025-10-19 21:09:02.517] Machine → Software: 32 (2)
[2025-10-19 21:09:02.519] Software → Machine: 30 (0)
[2025-10-19 21:09:02.520] Machine → Software: 30 (0)
[2025-10-19 21:09:02.522] Software → Machine: 36 (6)
[2025-10-19 21:09:02.523] Machine → Software: 36 (6)
[2025-10-19 21:09:02.524] Software → Machine: 41 (A)
[2025-10-19 21:09:02.526] Machine → Software: 41 (A)
[2025-10-19 21:09:02.527] Software → Machine: 30 (0)
[2025-10-19 21:09:02.529] Machine → Software: 30 (0)
[2025-10-19 21:09:02.529] Machine → Software: 31 44 31 (1D1)
[2025-10-19 21:09:02.530] Machine → Software: 42 32 41 30 33 (B2A03)
