Serial Capture Session Started - 2025-10-15 23:19:33.068
Software: COM7, Machine: COM15, Baud: 57600
================================================================================
[2025-10-15 23:20:08.843] Machine → Software: 30 33 46 43 30 30 (03FC00)
[2025-10-15 23:20:08.844] Machine → Software: 30 32 38 32 (0282)
[2025-10-15 23:20:08.859] Machine → Software: 41 45 30 30 30 (AE000)
[2025-10-15 23:20:10.044] Machine → Software: 32 30 34 32 32 30 30 30 32 30 31 44 43 30 30 30 32 34 30 38 30 30 30 46 46 46 45 45 34 30 30 30 32 30 34 32 34 4F (20422000201DC0002408000FFFEE400020424O)
[2025-10-15 23:20:10.045] Software → Machine: 52 (R)
[2025-10-15 23:20:10.046] Machine → Software: 52 (R)
[2025-10-15 23:20:10.048] Software → Machine: 46 (F)
[2025-10-15 23:20:10.050] Machine → Software: 46 (F)
[2025-10-15 23:20:10.052] Software → Machine: 46 (F)
[2025-10-15 23:20:10.053] Machine → Software: 46 (F)
[2025-10-15 23:20:10.055] Software → Machine: 46 (F)
[2025-10-15 23:20:10.056] Machine → Software: 46 (F)
[2025-10-15 23:20:10.059] Software → Machine: 45 (E)
[2025-10-15 23:20:10.060] Machine → Software: 45 (E)
[2025-10-15 23:20:10.062] Software → Machine: 44 (D)
[2025-10-15 23:20:10.063] Machine → Software: 44 (D)
[2025-10-15 23:20:10.065] Software → Machine: 42 (B)
[2025-10-15 23:20:10.066] Machine → Software: 42 (B)
[2025-10-15 23:20:10.067] Machine → Software: 36 33 30 30 (6300)
[2025-10-15 23:20:10.068] Machine → Software: 30 30 30 30 30 (00000)
[2025-10-15 23:20:10.069] Machine → Software: 30 30 30 30 (0000)
[2025-10-15 23:20:10.070] Machine → Software: 30 30 30 30 (0000)
[2025-10-15 23:20:10.071] Machine → Software: 30 30 30 30 (0000)
[2025-10-15 23:20:10.071] Machine → Software: 30 30 30 30 (0000)
[2025-10-15 23:20:10.072] Machine → Software: 30 30 33 30 (0030)
[2025-10-15 23:20:11.588] Machine → Software: 30 30 30 30 (0000)
[2025-10-15 23:20:13.622] Machine → Software: 31 32 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 4F (1200000000000000000000000000000O)
[2025-10-15 23:20:13.624] Software → Machine: 57 52 (WR)
[2025-10-15 23:20:13.625] Machine → Software: 57 (W)
[2025-10-15 23:20:13.627] Machine → Software: 3F (?)
[2025-10-15 23:20:13.685] Software → Machine: 52 (R)
[2025-10-15 23:20:13.686] Machine → Software: 52 (R)
[2025-10-15 23:20:14.306] Software → Machine: 02 (.)
[2025-10-15 23:20:14.307] Machine → Software: 3F (?)
[2025-10-15 23:20:14.307] Software → Machine: 66 03 6B (f.k)
[2025-10-15 23:20:14.308] Machine → Software: 51 21 (Q!)
[2025-10-15 23:20:14.310] Software → Machine: 46 (F)
[2025-10-15 23:20:14.312] Machine → Software: 51 (Q)
